Area-Damaged,Canker-Lesion,Class,Crop-Hist,Date,External Decay,Fruit Spots,Fruit-Pods,Fruiting-Bodies,Germination,Hail,Int-Discolor,Leaf-Malf,Leaf-Mild,Leaf-Shread,Leafspot-Size,Leafspots-Halo,Leafspots-Marg,Leaves,Lodging,Mold-Growth,Mycelium,Plant-Growth,Plant-Stand,Precip,Roots,Sclerotia,Seed,Seed-Discolor,Seed-Size,Seed-TMT,Severity,Shriveling,Stem,Stem-Cankers,Temp
1,2,D1,2,4,5,4,1,5,5,5,1,0,0,0,2,0,2,5,1,0,1,1,1,5,1,1,0,0,0,1,1,0,1,5,3
2,1,D1,5,5,5,4,1,5,5,1,1,0,0,0,2,0,2,5,5,0,1,1,1,5,1,1,0,0,0,5,1,0,1,5,3
1,1,D1,4,3,5,4,1,5,3,1,1,0,0,0,2,0,2,5,1,0,1,1,1,5,1,1,0,0,0,5,5,0,1,5,3
2,2,D1,2,5,5,4,1,5,1,1,1,0,0,0,2,0,2,5,5,0,1,1,1,5,1,1,0,0,0,1,1,0,1,5,3
1,2,D1,5,4,5,4,1,5,5,1,1,0,0,0,2,0,2,5,1,0,1,1,1,5,1,1,0,0,0,1,5,0,1,5,3
1,2,D1,4,5,5,4,1,5,1,1,1,0,0,0,2,0,2,5,5,0,1,1,1,5,1,1,0,0,0,5,1,0,1,5,3
2,1,D1,4,3,5,4,1,5,3,1,1,0,0,0,2,0,2,5,5,0,1,1,1,5,1,1,0,0,0,1,1,0,1,5,3
1,1,D1,2,3,5,4,1,5,5,1,1,0,0,0,2,0,2,5,1,0,1,1,1,5,1,1,0,0,0,5,5,0,1,5,3
1,2,D1,5,5,5,4,1,5,3,1,1,0,0,0,2,0,2,5,1,0,1,1,1,5,1,1,0,0,0,5,1,0,1,5,3
1,2,D1,2,5,5,4,1,5,5,1,1,0,0,0,2,0,2,5,1,0,1,1,1,5,1,1,0,0,0,1,1,0,1,5,3
4,5,D2,1,5,1,4,1,1,1,5,5,0,0,0,2,0,2,5,5,0,1,1,1,1,1,5,0,0,0,1,1,0,1,1,5
5,5,D2,4,4,1,4,1,1,3,1,5,0,0,0,2,0,2,5,1,0,1,1,1,1,1,5,0,0,0,5,1,0,1,1,3
4,5,D2,5,5,1,4,1,1,5,1,5,0,0,0,2,0,2,5,1,0,1,1,1,1,1,5,0,0,0,1,1,0,1,1,5
5,5,D2,5,5,1,4,1,1,1,5,5,0,0,0,2,0,2,5,1,0,1,1,1,1,1,5,0,0,0,5,1,0,1,1,3
4,5,D2,1,3,1,4,1,1,3,5,5,0,0,0,2,0,2,5,1,0,1,1,1,1,1,5,0,0,0,1,1,0,1,1,5
5,5,D2,2,4,1,4,1,1,3,5,5,0,0,0,2,0,2,5,5,0,1,1,1,1,1,5,0,0,0,5,1,0,1,1,3
4,5,D2,2,3,1,4,1,1,1,1,5,0,0,0,2,0,2,5,1,0,1,1,1,1,1,5,0,0,0,1,1,0,1,1,3
4,5,D2,4,5,1,4,1,1,5,5,5,0,0,0,2,0,2,5,5,0,1,1,1,1,1,5,0,0,0,1,1,0,1,1,5
5,5,D2,2,5,1,4,1,1,1,1,5,0,0,0,2,0,2,5,1,0,1,1,1,1,1,5,0,0,0,5,1,0,1,1,5
5,5,D2,5,5,1,4,1,1,5,5,5,0,0,0,2,0,2,5,1,0,1,1,1,1,1,5,0,0,0,5,1,0,1,1,5
2,2,D3,2,1,5,4,5,1,3,1,1,0,0,0,2,0,2,1,1,0,5,1,5,5,1,1,0,0,0,5,1,0,1,2,1
2,2,D3,5,2,5,4,5,1,3,1,1,0,0,0,2,0,2,1,1,0,1,1,5,5,1,1,0,0,0,1,5,0,1,2,1
2,2,D3,4,2,5,4,5,1,5,1,1,0,0,0,2,0,2,1,1,0,5,1,5,5,1,1,0,0,0,1,1,0,1,2,1
2,2,D3,1,1,5,4,5,1,5,1,1,0,0,0,2,0,2,1,1,0,1,1,5,5,1,1,0,0,0,5,1,0,1,2,1
2,2,D3,4,1,5,4,5,1,3,1,1,0,0,0,2,0,2,1,1,0,1,1,5,5,1,1,0,0,0,5,1,0,1,2,1
2,2,D3,1,4,5,4,5,1,5,5,1,0,0,0,2,0,2,5,5,0,5,1,1,5,1,1,0,0,0,1,5,0,1,2,1
2,2,D3,5,2,5,4,5,1,5,1,1,0,0,0,2,0,2,1,1,0,5,1,5,5,1,1,0,0,0,1,5,0,1,2,1
2,2,D3,1,1,5,4,5,1,3,1,1,0,0,0,2,0,2,1,1,0,1,1,5,5,5,1,0,0,0,1,1,0,1,2,1
2,2,D3,5,3,5,4,5,1,3,5,1,0,0,0,2,0,2,1,5,0,5,1,1,5,1,1,0,0,0,1,5,0,1,2,1
2,2,D3,2,1,5,4,5,1,5,1,1,0,0,0,2,0,2,1,1,0,1,1,5,5,1,1,0,0,0,5,5,0,1,2,1
2,4,D4,5,2,5,4,5,1,5,5,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,5,5,0,1,4,3
2,4,D4,2,1,1,4,5,1,1,1,1,0,0,0,2,0,2,5,1,0,1,1,5,3,5,1,0,0,0,1,1,0,1,2,3
2,4,D4,2,3,1,4,5,1,1,1,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,5,5,0,1,4,1
2,4,D4,2,2,5,4,5,1,5,5,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,1,5,0,1,2,3
2,4,D4,5,1,1,4,5,1,5,1,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,5,1,0,1,4,1
2,4,D4,1,1,1,4,5,1,3,1,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,5,5,0,1,4,3
2,4,D4,5,1,1,4,5,1,1,1,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,1,1,0,1,2,3
2,4,D4,2,2,1,4,5,1,1,1,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,1,5,0,1,2,1
2,4,D4,4,3,1,4,5,1,3,1,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,5,5,0,1,4,1
2,4,D4,4,3,1,4,5,1,5,1,1,0,0,0,2,0,2,5,1,0,1,1,5,3,5,1,0,0,0,5,5,0,1,4,1
2,4,D4,2,1,5,4,5,1,1,5,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,1,1,0,1,2,3
2,4,D4,5,1,5,4,5,1,3,5,1,0,0,0,2,0,2,5,5,0,1,1,5,5,5,1,0,0,0,1,5,0,1,2,3
2,4,D4,1,1,1,4,5,1,1,1,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,5,5,0,1,4,1
5,4,D4,4,1,5,4,5,1,3,5,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,5,1,0,1,4,3
2,4,D4,5,2,1,4,5,1,5,1,1,0,0,0,2,0,2,5,1,0,1,1,5,3,5,1,0,0,0,1,5,0,1,2,1
2,4,D4,4,1,5,4,5,1,1,5,1,0,0,0,2,0,2,5,5,0,1,1,5,3,5,1,0,0,0,5,5,0,1,4,3
2,4,D4,5,1,1,4,5,1,5,1,1,0,0,0,2,0,2,5,1,0,1,1,5,5,5,1,0,0,0,1,1,0,1,2,3
